"[[0.007272727272727273, 0.5, 1.1376732618672607, 0.7820780149319658, 0.6229058874670248, -0.08499896068827639]]",1,-1,"[[-0.03272727272727273, 0.4, 1.0376732618672606, 0.6820780149319658, 0.5229058874670248, 1.1150010393117236]]",True
"[[0.04, 0.9999999999999999, -0.008654450807635355, 0.3834764681342159, -0.011187713423756102, 0.9938007789990985]]",1,-1,"[[-0.03636363636363636, 0.8999999999999999, 1.1913455491923646, 0.2834764681342159, 1.1888122865762438, 0.8938007789990985]]",True
"[[0.02727272727272727, 0.6, 0.7236288267590484, -0.07560362148255417, 0.2808149699677942, 1.0389901343816486]]",1,-1,"[[-0.012727272727272728, 0.5, 0.6236288267590484, 1.1243963785174458, 0.1808149699677942, 0.9389901343816486]]",True
"[[0.08545454545454545, 1.0999999999999999, -0.06671041012367351, -0.0490856604497851, -0.026657690758954605, 0.4968269107556287]]",1,-1,"[[-0.023636363636363636, 0.9999999999999999, 1.1332895898763264, 1.1509143395502148, 1.1733423092410453, 0.3968269107556287]]",True
"[[0.04, 0.7, 0.799130530905059, 1.1360932349363067, -0.03854448286890319, 0.7196028283204771]]",1,-1,"[[0.0, 0.6, 0.6991305309050591, 1.0360932349363066, 1.1614555171310967, 0.6196028283204771]]",True
"[[0.02, 0.8999999999999999, 1.0082682675150605, 0.08595396694207519, -0.034360515788408125, 0.7320922050033943]]",1,-1,"[[-0.016363636363636365, 0.7999999999999999, 0.9082682675150605, -0.014046033057924817, 1.1656394842115918, 0.6320922050033944]]",True
"[[0.00909090909090909, 0.8999999999999999, 1.0851785164934857, 1.0740510427904468, 0.3360886983625776, -0.009586050526302098]]",1,-1,"[[-0.03272727272727273, 0.7999999999999999, 0.9851785164934858, 0.9740510427904469, 0.2360886983625776, 1.1904139494736978]]",True
"[[0.01090909090909091, 1.0999999999999999, 0.15766722539138986, -0.037176278232556176, 1.0829413579605456, 0.33581404416030713]]",1,-1,"[[-0.025454545454545455, 0.9999999999999999, 0.057667225391389854, 1.1628237217674438, 0.9829413579605456, 0.23581404416030713]]",True
"[[0.04, 0.9999999999999999, 1.1968233542575937, 0.38061682376220507, -0.07159788915531329, 0.699901985653171]]",1,-1,"[[0.0, 0.8999999999999999, 1.0968233542575936, 0.2806168237622051, 1.1284021108446867, 0.599901985653171]]",True
"[[0.04181818181818182, 0.9999999999999999, -0.07933197577738982, 0.5711254910749669, 0.8243227946797644, 0.5174274853195383]]",1,-1,"[[0.0, 0.8999999999999999, 1.1206680242226101, 0.47112549107496693, 0.7243227946797645, 0.4174274853195383]]",True
"[[0.01818181818181818, 2.7755575615628914e-17, 0.06750561058808285, 0.8716702516375745, 0.34781046523263004, -0.009846502623321624]]",1,-1,"[[-0.023636363636363636, 0.0, -0.03249438941191715, 0.7716702516375745, 0.24781046523263003, 1.1901534973766783]]",True
"[[0.016363636363636365, 0.10000000000000003, 1.1909017765415701, 0.48745174702925365, -0.05473855718531073, 0.2893847127656184]]",1,-1,"[[-0.02181818181818182, 2.7755575615628914e-17, 1.09090177654157, 0.38745174702925367, 1.1452614428146892, 0.18938471276561838]]",True
"[[0.0036363636363636364, 1.0999999999999999, 1.1211252809470416, 0.5986185628928592, -0.057479925715097746, 0.34289623724335827]]",1,-1,"[[-0.03090909090909091, 0.9999999999999999, 1.0211252809470415, 0.4986185628928592, 1.1425200742849022, 0.24289623724335827]]",True
"[[0.0036363636363636364, 0.8999999999999999, 1.0191532270591455, 0.15486327180187529, -0.03187580027992462, 0.46381259842893874]]",1,-1,"[[-0.03272727272727273, 0.7999999999999999, 0.9191532270591455, 0.05486327180187528, 1.1681241997200753, 0.36381259842893876]]",True
"[[0.02181818181818182, 0.30000000000000004, 1.0156818840223996, 0.3573671660084229, -0.016231892121349983, 0.21977056935830183]]",1,-1,"[[-0.014545454545454545, 0.20000000000000004, 0.9156818840223996, 0.2573671660084229, 1.18376810787865, 0.11977056935830183]]",True
"[[0.023636363636363636, 0.5, 0.8108772888032951, 0.6718544866227298, 0.5241760261673402, -0.04138288088414585]]",1,-1,"[[-0.01818181818181818, 0.4, 0.7108772888032951, 0.5718544866227299, 0.4241760261673402, 1.158617119115854]]",True
